feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
danceability,0.25755521906227163,0.5621301649193694,-0.09280790669754897,-0.3171529264853167,0.25227276912610297,0.1446655857154851,0.6271017562961771,0.0729126045168298,0.15916393472640641
energy,0.5047809060492374,-0.28935822813371403,0.0007295580819601036,-0.17759559029696703,-0.03190801439770249,0.05999070305211566,-0.244427046050674,0.1713321027234111,0.7322643311341409
loudness,0.5145103058034778,-0.08147647727277524,-0.04881956286504232,0.012145071053853818,-0.20161705458817308,-0.16923471302809895,0.038064889030903215,0.6265214119831127,-0.5126812227488264
speechiness,0.09703707614411018,0.031567776486555066,0.6406092173561189,-0.24721739702505913,0.5314138687927796,-0.43628040928454087,-0.1795786118654542,-0.04345006293999437,-0.10589140337073134
acousticness,-0.43314145926368003,0.31517154243328993,0.21716629546750202,0.31117400348335644,0.03680448672159507,0.0076211868120485,-0.08955148802907789,0.6807477157494661,0.31018597734038533
instrumentalness,-0.28259160955947016,-0.31424873806724796,-0.2127049446487527,-0.49482372878816117,0.4147092492965183,0.4629245518729219,-0.14478859317565496,0.2983594558561435,-0.1871651489687501
liveness,0.08370260788249609,-0.23070182260520983,0.6727247542293143,0.11431953834194312,-0.19624668144084725,0.5847718952175938,0.29578744910660215,-0.030873327999978467,-0.07230963861748142
valence,0.299327897110228,0.5273678068890006,0.003740069586534795,0.13994709216598625,0.08863661546666524,0.4412029748363511,-0.6040335969064585,-0.13194607285727522,-0.16704479220372298
tempo,0.20162251614357457,-0.25143795935585567,-0.1834270009594028,0.6574769615112089,0.6265641632392254,0.07427343119667537,0.17880544127621337,-0.010645614825009513,0.004688901528356581
