cluster,track_count,percentage,mean_PC1,mean_PC2,mean_PC3,mean_PC4,mean_PC5,mean_PC6,mean_PC7
0,1047,1.17,0.1063,0.3808,6.3625,-1.2793,2.5993,-1.7839,-0.6364
1,20175,22.48,0.9845,-0.9674,-0.2464,0.348,-0.1214,-0.5117,-0.0432
2,27542,30.69,1.0525,0.9465,-0.1653,-0.1789,0.0019,0.0394,-0.1093
3,6600,7.35,-4.2153,-0.4359,-0.1097,-0.3066,0.4644,0.4633,-0.3257
4,6179,6.89,0.7216,-0.8046,1.871,0.4654,-0.742,1.4573,0.5279
5,18170,20.25,-1.3173,0.6515,0.0272,0.5832,-0.3869,-0.4085,0.1734
6,10028,11.17,-0.166,-1.091,-0.8445,-1.2168,0.8202,0.6449,0.0286
