cluster,track_count,percentage,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,1047,1.17,0.5728,0.6743,-11.2361,0.8447,0.7448,0.0071,0.6674,0.4425,100.9573
1,20175,22.48,0.4721,0.8184,-5.2899,0.086,0.0774,0.038,0.1958,0.3718,139.9903
2,27542,30.69,0.7052,0.7165,-6.5009,0.096,0.2269,0.0208,0.1643,0.7011,118.2239
3,6600,7.35,0.3438,0.1715,-21.1711,0.0512,0.8625,0.7919,0.1622,0.1817,102.3868
4,6179,6.89,0.5196,0.7544,-7.082,0.0884,0.2907,0.0788,0.7461,0.5042,123.5181
5,18170,20.25,0.526,0.3724,-10.7807,0.0541,0.6768,0.0307,0.1607,0.3901,113.1796
6,10028,11.17,0.5847,0.7407,-8.556,0.0715,0.1081,0.792,0.1693,0.3446,126.851
